,Issuing Office,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
1,"Angola, Luanda",28.0,43.0,38.0,66.0,58.0,85.0,101.0,28.0,79.0,341.0
2,"Benin, Cotonou",284.0,306.0,275.0,422.0,424.0,460.0,512.0,179.0,351.0,629.0
3,"Burkina Faso, Ouagadougou",317.0,206.0,288.0,333.0,314.0,323.0,287.0,103.0,280.0,307.0
4,"Cabo Verde, Praia",1.304,813.0,1.033,1.817,2.035,1.488,1.417,672.0,581.0,858.0
5,"Cameroon, Yaounde",2.325,2.103,2.861,3.587,2.971,3.268,3.021,1.48,2.978,4.286
6,"Congo, Dem. Rep. of the, Kinshasa",2.594,2.813,3.029,3.356,3.237,3.66,3.791,846.0,1.133,1.827
7,"Congo, Rep. of the, Brazzaville",52.0,80.0,83.0,62.0,78.0,31.0,27.0,14.0,7.0,64.0
8,"Cote d'Ivoire, Abidjan",694.0,609.0,641.0,954.0,1.04,849.0,982.0,358.0,927.0,962.0
9,"Djibouti, Djibouti",66.0,103.0,2.089,8.117,4.215,758.0,2.738,3.47,4.209,4.691
10,"Eritrea, Asmara",,,9.0,27.0,14.0,31.0,36.0,84.0,0.0,0.0
11,"Ethiopia, Addis Ababa",8.655,7.678,6.67,11.607,10.39,8.809,6.027,2.889,2.636,4.522
12,"Gabon, Libreville",25.0,28.0,44.0,39.0,53.0,40.0,36.0,23.0,40.0,35.0
13,"Ghana, Accra",6.643,4.269,3.573,4.992,6.789,6.815,6.075,2.378,2.113,3.042
14,"Kenya, Nairobi",4.677,4.869,4.225,4.435,5.682,5.335,4.743,2.686,2.238,4.941
15,"Liberia, Monrovia",2.331,2.859,2.75,2.923,2.944,2.527,2.102,672.0,765.0,1.114
16,"Madagascar, Antananarivo",42.0,26.0,32.0,53.0,18.0,40.0,39.0,25.0,32.0,43.0
17,"Malawi, Lilongwe",40.0,17.0,26.0,27.0,36.0,47.0,37.0,21.0,73.0,78.0
18,"Niger, Niamey",72.0,69.0,77.0,97.0,112.0,113.0,75.0,55.0,122.0,78.0
19,"Nigeria, Lagos",9.508,7.201,6.092,9.02,6.297,8.018,6.521,3.546,4.762,4.219
20,"Rwanda, Kigali",,,,368.0,351.0,486.0,522.0,216.0,387.0,1.152
21,"Senegal, Dakar",1.68,1.649,2.028,2.697,2.779,2.941,3.419,1.414,1.72,2.574
22,"Sierra Leone, Freetown",1.287,980.0,1.023,1.092,1.535,1.133,938.0,288.0,1.468,1.842
23,"South Africa, Johannesburg",921.0,901.0,1.006,1.123,1.203,1.174,1.043,776.0,764.0,2.009
24,"Sudan, Khartoum",,,227.0,2.015,1.547,2.132,1.754,632.0,508.0,832.0
25,"Tanzania, Dar es Salaam",180.0,153.0,229.0,269.0,256.0,290.0,245.0,110.0,300.0,302.0
26,"Togo, Lome",1.086,1.154,1.257,1.554,1.139,1.434,1.405,790.0,979.0,1.838
27,"Uganda, Kampala",306.0,235.0,272.0,237.0,92.0,55.0,64.0,30.0,32.0,63.0
28,"Zambia, Lusaka",114.0,116.0,151.0,146.0,128.0,164.0,103.0,79.0,187.0,187.0
29,"Zimbabwe, Harare",174.0,142.0,179.0,231.0,193.0,215.0,167.0,103.0,485.0,523.0
30,Africa Total,45.405,39.422,40.207,61.666,55.93,52.721,48.227,23.967,30.156,43.359
32,"Australia, Sydney",1.187,1.08,1.406,1.374,1.24,1.497,1.2,720.0,839.0,1.151
33,"Burma, Rangoon",1.139,846.0,1.003,1.222,1.21,1.197,1.311,571.0,502.0,961.0
34,"Cambodia, Phnom Penh",1.734,1.766,1.247,2.523,3.386,2.616,1.891,888.0,1.55,2.864
35,"China, Guangzhou",31.913,35.347,38.171,41.255,34.437,29.11,27.036,11.82,19.368,21.132
