Issuing Office,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Africa,,,,,,,,,,
"Angola, Luanda",28,43,38,66,58,85,101,28,79,341
"Benin, Cotonou",284,306,275,422,424,460,512,179,351,629
"Burkina Faso, Ouagadougou",317,206,288,333,314,323,287,103,280,307
"Cabo Verde, Praia","1,304",813,"1,033","1,817","2,035","1,488","1,417",672,581,858
"Cameroon, Yaounde","2,325","2,103","2,861","3,587","2,971","3,268","3,021","1,480","2,978","4,286"
"Congo, Dem. Rep. of the, Kinshasa","2,594","2,813","3,029","3,356","3,237","3,660","3,791",846,"1,133","1,827"
"Congo, Rep. of the, Brazzaville",52,80,83,62,78,31,27,14,7,64
"Cote d'Ivoire, Abidjan",694,609,641,954,"1,040",849,982,358,927,962
"Djibouti, Djibouti",66,103,"2,089","8,117","4,215",758,"2,738","3,470","4,209","4,691"
"Eritrea, Asmara",no service,no service,9,27,14,31,36,84,0,0
"Ethiopia, Addis Ababa","8,655","7,678","6,670","11,607","10,390","8,809","6,027","2,889","2,636","4,522"
"Gabon, Libreville",25,28,44,39,53,40,36,23,40,35
"Ghana, Accra","6,643","4,269","3,573","4,992","6,789","6,815","6,075","2,378","2,113","3,042"
"Kenya, Nairobi","4,677","4,869","4,225","4,435","5,682","5,335","4,743","2,686","2,238","4,941"
"Liberia, Monrovia","2,331","2,859","2,750","2,923","2,944","2,527","2,102",672,765,"1,114"
"Madagascar, Antananarivo",42,26,32,53,18,40,39,25,32,43
"Malawi, Lilongwe",40,17,26,27,36,47,37,21,73,78
"Niger, Niamey",72,69,77,97,112,113,75,55,122,78
"Nigeria, Lagos","9,508","7,201","6,092","9,020","6,297","8,018","6,521","3,546","4,762","4,219"
"Rwanda, Kigali",no service,no service,no service,368,351,486,522,216,387,"1,152"
"Senegal, Dakar","1,680","1,649","2,028","2,697","2,779","2,941","3,419","1,414","1,720","2,574"
"Sierra Leone, Freetown","1,287",980,"1,023","1,092","1,535","1,133",938,288,"1,468","1,842"
"South Africa, Johannesburg",921,901,"1,006","1,123","1,203","1,174","1,043",776,764,"2,009"
"Sudan, Khartoum",no service,no service,227,"2,015","1,547","2,132","1,754",632,508,832
"Tanzania, Dar es Salaam",180,153,229,269,256,290,245,110,300,302
"Togo, Lome","1,086","1,154","1,257","1,554","1,139","1,434","1,405",790,979,"1,838"
"Uganda, Kampala",306,235,272,237,92,55,64,30,32,63
"Zambia, Lusaka",114,116,151,146,128,164,103,79,187,187
"Zimbabwe, Harare",174,142,179,231,193,215,167,103,485,523
Africa Total,"45,405","39,422","40,207","61,666","55,930","52,721","48,227","23,967","30,156","43,359"
East Asia and Pacific,,,,,,,,,,
"Australia, Sydney","1,187","1,080","1,406","1,374","1,240","1,497","1,200",720,839,"1,151"
"Burma, Rangoon","1,139",846,"1,003","1,222","1,210","1,197","1,311",571,502,961
"Cambodia, Phnom Penh","1,734","1,766","1,247","2,523","3,386","2,616","1,891",888,"1,550","2,864"
"China, Guangzhou","31,913","35,347","38,171","41,255","34,437","29,110","27,036","11,820","19,368","21,132"
"Fiji, Suva",769,741,852,688,693,714,607,390,505,"1,113"
"Hong Kong S.A.R., Hong Kong","1,783","1,599","1,836","2,132","1,931","1,847","1,610","1,152","1,264","1,982"
"Indonesia, Jakarta",568,412,541,629,510,541,554,333,688,463
"Japan, Tokyo","1,616","1,466","1,671","1,777","1,608","1,667","1,537","1,077","1,574","1,876"
Naha,250,248,258,332,301,312,339,236,298,266
"Korea, Seoul","4,449","3,961","4,128","5,500","4,918","5,051","5,267","3,181","3,047","4,978"
"Laos, Vientiane",171,151,203,277,287,341,325,136,2,451
"Malaysia, Kuala Lumpur",433,419,566,"1,654","1,166",798,"1,327","1,007",545,559
"Mongolia, Ulaanbaatar",203,185,187,288,229,291,292,176,343,350
"New Zealand, Auckland",435,436,469,428,357,449,442,257,381,333
"Papua New Guinea, Port Moresby",12,4,8,3,2,8,11,2,6,46
"Philippines, Manila","34,617","30,612","35,429","33,890","29,195","30,879","25,770","8,982","12,579","21,301"
"Singapore, Singapore",326,304,396,474,446,480,435,327,649,703
"Thailand, Bangkok","1,320","1,011","1,353","1,525","1,376","1,575","1,393",616,"1,222","1,903"
"Vietnam, Hanoi1",0,0,86,97,105,52,68,51,39,43
Ho Chi Minh City,"22,888","24,025","26,833","32,438","28,346","28,080","32,318","19,969","10,122","22,156"
Taipei2,"1,588","1,484","1,475","1,923","1,576","2,375","2,136","1,118","1,869","1,768"
East Asia and Pacific Total,"107,401","106,097","118,118","130,429","113,319","109,880","105,869","53,009","57,392","86,399"
Europe and Eurasia,,,,,,,,,,
"Albania, Tirana","2,326","3,110","4,341","4,438","4,623","4,616","4,545","2,656","1,614","4,977"
"Armenia, Yerevan","3,625","3,315","3,568","3,937","3,935","3,074","2,528","1,626","1,864","4,835"
"Austria, Vienna",170,154,159,141,140,151,117,118,200,529
"Belgium, Brussels",224,182,229,225,223,214,216,146,233,218
"Bermuda, Hamilton",48,58,57,66,63,46,43,36,86,77
"Bosnia and Herzegovina, Sarajevo",246,191,331,335,339,287,210,165,203,223
"Bulgaria, Sofia","1,603","1,596","1,492","1,393","1,095",987,783,433,477,625
"Croatia, Zagreb",61,65,73,91,73,83,65,55,94,46
"Cyprus, Nicosia",50,49,72,70,48,46,55,36,54,85
"Czech Republic, Prague",149,155,168,166,115,168,153,96,159,255
"Denmark, Copenhagen",no service,no service,no service,no service,1,2,no service,1,no service,no service
"Estonia, Tallinn",49,42,55,45,41,50,39,21,59,62
"Finland, Helsinki",124,102,111,132,102,107,107,36,130,112
"France, Paris","1,099","1,053","1,367","1,328","1,237","1,295","1,136",784,977,"1,470"
"Georgia, Tbilisi",928,805,"1,249","1,126","1,621","1,776","1,965",892,816,"2,738"
"Germany, Frankfurt","2,808","2,314","2,285","2,106","1,899","1,851","1,590","1,313","1,584","4,469"
"Great Britain and Northern Ireland,","4,172","3,858","4,099","4,231","3,816","3,870","3,898","2,299","2,956","4,755"
London,,,,,,,,,,
"Greece, Athens",765,507,542,668,595,560,484,225,242,369
"Hungary, Budapest",260,225,268,231,220,282,225,121,217,267
"Iceland, Reykjavik",38,27,29,40,19,23,15,18,39,31
"Ireland, Dublin",299,258,335,289,219,346,298,167,305,435
"Italy, Naples","1,032","1,215","1,299","1,286","1,218","1,155","1,160",756,"1,036","1,676"
"Kosovo, Pristina",no service,no service,no service,no service,no service,570,815,402,516,798
"Latvia, Riga",191,188,277,182,154,169,130,63,144,218
"Lithuania, Vilnius",270,220,268,224,185,272,244,106,175,221
"Moldova, Chisinau","1,026","1,370","1,781","1,507","1,566",832,881,386,599,822
"Netherlands, Amsterdam",232,261,373,354,271,350,335,181,272,300
"North Macedonia, Skopje","1,081",942,"1,318","1,354","1,421",884,647,225,469,750
"Poland, Warsaw","3,281","2,599","3,179","2,842","2,770","2,839","2,593","1,055","1,855","5,355"
"Portugal, Lisbon",no service,4,3,5,9,4,20,1,1,no service
"Romania, Bucharest","1,140",982,"1,150","1,023",865,746,795,388,702,816
"Russia, Moscow","3,871","3,566","4,071","3,529","3,681","4,270","4,625","1,837",409,77
"Serbia, Belgrade",638,545,711,777,776,683,709,425,495,626
"Slovakia, Bratislava",74,62,77,81,76,94,58,40,59,85
"Slovenia, Ljubljana",10,10,16,25,18,33,11,18,33,16
"Spain, Madrid",773,808,936,883,801,901,782,536,907,"1,287"
"Sweden, Stockholm",595,450,531,608,575,585,432,346,268,804
"Switzerland, Bern",228,194,272,190,189,229,213,168,267,222
"Turkey, Ankara","4,400","4,020","4,940","4,834","4,966","3,313","3,018","3,538","2,587","5,778"
"Ukraine, Kyiv","4,171","4,122","4,145","5,068","4,751","5,358","4,427","2,611","2,912","2,068"
Europe and Eurasia Total,"42,057","39,624","46,177","45,830","44,716","43,121","40,367","24,326","26,015","48,497"
Near East,,,,,,,,,,
"Algeria, Algiers","1,348","1,319","1,773","4,354","1,670","1,993","2,163","1,020","1,867","2,713"
