Class of admission,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Total all admissions (from PAS)1,173100000.00,180500000.00,181300000.00,178700000.00,181100000.00,186200000.00,186200000.00,86100000.00,35300000.00,96800000.00
Total I-94 admissions,61052260.00,74930606.00,76638236.00,77112073.00,77643267.00,81279692.00,81563139.00,37176105.00,13623118.00,44897662.00
Temporary workers and families,2996743.00,3398961.00,3722543.00,3937765.00,3969276.00,3919567.00,4106324.00,2572815.00,1843944.00,3176965.00
Temporary workers and trainees,1853915.00,2095175.00,2306962.00,2445854.00,2447014.00,2378940.00,2558973.00,1791758.00,1448739.00,2335451.00
CNMI-only transitional workers (CW1),1642.00,4045.00,5096.00,7830.00,8154.00,4743.00,4381.00,984.00,374.00,987.00
Spouses and children of CW1 (CW2),404.00,777.00,883.00,1025.00,903.00,729.00,707.00,151.00,117.00,246.00
Temporary workers in specialty occupations (H1B),474355.00,511773.00,537450.00,542621.00,531280.00,570368.00,601594.00,368440.00,148603.00,425126.00
Chile and Singapore Free Trade Agreement temporary workers (H1B1),8.00,29.00,93.00,275.00,452.00,581.00,836.00,631.00,373.00,1306.00
Registered nurses participating in the Nursing Relief for Disadvantaged Areas (H1C),7.00,D,0.00,8.00,97.00,66.00,21.00,11.00,0.00,0.00
Agricultural workers (H2A),204577.00,240620.00,283580.00,352462.00,412820.00,298228.00,442822.00,510343.00,586992.00,684002.00
Nonagricultural workers (H2B),104984.00,105413.00,120207.00,120843.00,124319.00,120351.00,129120.00,86731.00,123046.00,152610.00
Returning H2B workers (H2R) 2,9.00,D,12.00,11.00,11.00,9.00,6.00,8.00,25.00,106.00
Trainees (H3),4117.00,4306.00,3514.00,2802.00,2637.00,2334.00,2141.00,820.00,400.00,950.00
"Spouses and children of H1, H2, or H3 (H4)",163786.00,184045.00,205521.00,212783.00,219716.00,230219.00,225468.00,118083.00,69549.00,176104.00
Workers with extraordinary ability or achievement (O1),66604.00,83001.00,93086.00,102347.00,111516.00,120625.00,127972.00,63487.00,26395.00,79770.00
Workers accompanying and assisting in performance of O1 workers (O2),20762.00,24190.00,26593.00,28685.00,30659.00,33780.00,35370.00,15602.00,8512.00,38650.00
Spouses and children of O1 and O2 (O3),8238.00,9940.00,11733.00,13890.00,15343.00,16074.00,17678.00,8702.00,5687.00,13445.00
Internationally recognized athletes or entertainers (P1),85583.00,95470.00,99351.00,99262.00,103097.00,105856.00,101878.00,54816.00,37213.00,89600.00
Artists or entertainers in reciprocal exchange programs (P2),12306.00,13808.00,14292.00,13351.00,14684.00,16476.00,17692.00,7602.00,1814.00,7855.00
Artists or entertainers in culturally unique programs (P3),9512.00,11191.00,11729.00,13178.00,13439.00,14182.00,13894.00,5735.00,1000.00,8723.00
"Spouses and children of P1, P2, or P3 (P4)",3565.00,3390.00,3754.00,3799.00,3917.00,3890.00,4071.00,2538.00,2283.00,4017.00
Workers in international cultural exchange programs (Q1),2685.00,2976.00,2988.00,3086.00,3406.00,3443.00,3414.00,1555.00,102.00,821.00
Workers in religious occupations (R1),14191.00,13839.00,14109.00,14282.00,14359.00,14672.00,14817.00,7015.00,4374.00,8121.00
Spouses and children of R1 (R2),4337.00,3781.00,3526.00,3758.00,4461.00,4212.00,4279.00,2037.00,1472.00,3039.00
North American Free Trade Agreement (NAFTA) professional workers (TN),612535.00,712737.00,787180.00,817517.00,741899.00,731496.00,725929.00,485948.00,385869.00,550399.00
Spouses and children of TN (TD),59708.00,69840.00,82265.00,92039.00,89845.00,86606.00,84883.00,50519.00,44539.00,89574.00
Intracompany transferees,723641.00,835707.00,917613.00,965228.00,976508.00,993288.00,987834.00,470641.00,182379.00,478352.00
Intracompany transferees (L1),503206.00,591728.00,648611.00,680621.00,687096.00,703102.00,698794.00,336676.00,116120.00,305520.00
Spouses and Children of L1 (L2)3,220435.00,243979.00,269002.00,284607.00,289412.00,290186.00,289040.00,133965.00,66259.00,23029.00
Spouses of L1 (L2S)3,X,X,X,X,X,X,X,X,X,98696.00
Children of L1 (L2Y)3,X,X,X,X,X,X,X,X,X,51107.00
Treaty traders and investors,373360.00,422025.00,449732.00,478278.00,496936.00,503199.00,515672.00,291588.00,200672.00,337888.00
Treaty traders (E1)4,71652.00,78100.00,78511.00,79720.00,77657.00,75500.00,75627.00,41784.00,27332.00,44274.00
Spouses of treaty traders (E1S)4,X,X,X,X,X,X,X,X,X,1071.00
Children of treaty traders (E1Y)4,X,X,X,X,X,X,X,X,X,281.00
Treaty investors (E2)4,279288.00,314464.00,335820.00,356990.00,374201.00,378374.00,387182.00,222011.00,164175.00,255118.00
Spouses of treaty investors (E2S)4,X,X,X,X,X,X,X,X,X,8367.00
Children of treaty investors (E2Y)4,X,X,X,X,X,X,X,X,X,1598.00
Treaty investors and their spouses and children (CNMI only) (E2C),5.00,D,0.00,D,0.00,0.00,0.00,D,11.00,65.00
Australian Free Trade Agreement principals (E3)4,22415.00,D,35401.00,D,45078.00,49325.00,52863.00,D,9154.00,26132.00
Spouses of Australian Free Trade Agreement principals (E3S)4,X,X,X,X,X,X,X,X,X,866.00
Children of Australian Free Trade Agreement principals (E3Y)4,X,X,X,X,X,X,X,X,X,116.00
Representatives of foreign information media,45827.00,46054.00,48236.00,48405.00,48818.00,44140.00,43845.00,18828.00,12154.00,25274.00
Representatives of foreign information media and spouses and children (I1),45827.00,46054.00,48236.00,48405.00,48818.00,44140.00,43845.00,18828.00,12154.00,25274.00
Students,1669225.00,1837664.00,1990661.00,1991940.00,1940171.00,1957852.00,1907176.00,918442.00,798977.00,1264285.00
Academic students (F1),1577509.00,1737927.00,1886948.00,1892644.00,1845739.00,1862828.00,1817724.00,876157.00,758458.00,1199088.00
Spouses and children of F1 (F2),71167.00,78215.00,83004.00,79436.00,74461.00,75344.00,70288.00,32464.00,32309.00,54732.00
Vocational students (M1),19106.00,20534.00,19878.00,19006.00,19129.00,18838.00,18385.00,9454.00,7872.00,9892.00
Spouses and children of M1 (M2),1443.00,988.00,831.00,854.00,842.00,842.00,779.00,367.00,338.00,573.00
Exchange visitors,492937.00,557760.00,576347.00,585504.00,594185.00,611373.00,620479.00,226474.00,174412.00,432432.00
Exchange visitors (J1),433534.00,486827.00,502372.00,513905.00,523864.00,537705.00,548717.00,195459.00,151257.00,384707.00
Spouses and children of J1 (J2),59403.00,70933.00,73975.00,71599.00,70321.00,73668.00,71762.00,31015.00,23155.00,47725.00
Diplomats and other representatives,373330.00,421144.00,438477.00,442418.00,450457.00,457599.00,454494.00,218895.00,161041.00,331226.00
"Ambassadors, public ministers, career diplomatic or consular officers and their families (A1)",34548.00,39239.00,40410.00,41932.00,42459.00,43715.00,42431.00,22752.00,21640.00,34182.00
