Region and country of residence,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
REGION,,,,,,,,,,
Total,"61,052,260","74,930,606","76,638,236","77,112,073","77,643,267","81,279,692","81,563,139","37,176,105","13,623,118","44,897,662"
Africa,"645,919","757,181","792,026","816,541","809,114","838,490","815,177","341,446","206,493","460,185"
Asia,"12,230,911","13,307,053","14,025,173","14,751,353","15,154,164","15,279,660","15,100,864","6,341,545","1,763,975","5,245,074"
Europe,"16,167,460","17,376,449","17,340,542","17,742,391","17,889,171","18,297,426","18,517,513","7,595,214","1,311,941","10,980,245"
North America,"24,561,055","35,589,531","36,312,759","35,693,733","35,375,881","37,987,067","38,575,567","19,278,195","7,787,320","23,036,143"
Oceania,"1,770,569","1,822,066","1,859,507","1,906,888","1,970,630","1,962,796","1,917,903","754,194","62,105","666,922"
South America,"5,511,558","6,052,610","6,256,760","6,039,711","6,349,041","6,828,559","6,550,198","2,822,773","2,462,888","4,448,333"
Unknown,"164,788","25,716","51,469","161,456","95,266","85,694","85,917","42,738","28,396","60,760"
COUNTRY,,,,,,,,,,
Total,"61,052,260","74,930,606","76,638,236","77,112,073","77,643,267","81,279,692","81,563,139","37,176,105","13,623,118","44,897,662"
Afghanistan,"2,837","4,150","4,334","4,519","3,581","3,379","3,200","1,755","1,288","2,359"
Albania,"7,889","8,746","9,992","12,883","17,056","20,713","21,457","11,192","8,204","15,753"
Algeria,"9,558","12,465","13,623","14,427","15,242","15,224","16,063","6,140","1,106","6,536"
Andorra,"1,271","1,611","1,344","1,638","1,720","1,949","1,765",659,172,"1,279"
Angola,"12,617","14,715","13,787","10,281","9,603","8,864","7,730","2,737","1,397","3,489"
Antigua and Barbuda,"15,151","14,834","15,022","17,540","15,893","16,873","17,806","7,762","5,605","12,908"
Argentina,"744,864","768,469","806,698","986,574","1,129,997","1,146,405","926,594","369,659","241,215","558,402"
Armenia,"7,431","8,232","8,654","10,701","13,774","14,272","16,956","9,999","9,674","12,435"
Australia,"1,453,814","1,480,176","1,499,354","1,529,052","1,576,901","1,563,991","1,524,305","607,868","47,627","537,835"
Austria,"237,429","247,122","235,601","240,182","237,611","233,473","235,194","92,756","18,331","141,615"
Azerbaijan,"7,162","7,347","8,419","8,577","9,104","9,007","9,418","3,965","2,354","5,312"
Bahamas,"244,650","240,451","249,276","276,734","304,752","295,093","310,405","143,531","120,316","214,664"
