Return to Table of Contents,,,,,,,,,,
,,,,,,,,,,
Table 27.,,,,,,,,,,
NONIMMIGRANT ADMISSIONS (I-94 ONLY) BY REGION AND COUNTRY OF RESIDENCE: FISCAL YEARS 2013 TO 2022,,,,,,,,,,
,,,,,,,,,,
Region and country of residence,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
REGION,,,,,,,,,,
Total,"61,052,260","74,930,606","76,638,236","77,112,073","77,643,267","81,279,692","81,563,139","37,176,105","13,623,118","44,897,662"
Africa,"574,756","694,587","732,388","752,677","596,239","623,170","738,089","308,803","180,588","398,252"
Asia,"11,601,237","12,769,145","13,282,782","14,079,010","13,656,227","13,830,304","14,561,498","6,077,574","1,688,972","4,817,758"
Europe,"15,191,408","15,977,022","14,776,496","15,617,439","16,337,418","17,195,903","17,494,314","7,151,736","941,991","10,201,339"
North America,"25,886,751","32,582,044","32,569,052","32,826,605","37,086,441","41,884,587","40,067,767","20,024,171","8,333,136","24,324,777"
Oceania,"1,755,197","1,783,958","1,675,390","1,739,937","1,862,111","1,943,760","1,913,303","747,711","51,726","655,010"
South America,"5,585,093","6,176,047","6,351,299","6,080,707","5,523,338","5,693,726","6,575,816","2,778,699","2,404,174","4,391,220"
Unknown,"457,818","4,947,803","7,250,829","6,015,698","2,581,493","108,242","212,352","87,411","22,531","109,306"
COUNTRY1,,,,,,,,,,
Total,"61,052,260","74,930,606","76,638,236","77,112,073","77,643,267","81,279,692","81,563,139","37,176,105","13,623,118","44,897,662"
Afghanistan,"2,770","4,143","4,283","4,934","3,375","3,216","3,690","1,936","1,217","2,741"
Albania,"6,328","7,623","10,615","13,897","12,736","15,952","20,012","10,517","7,988","14,651"
Algeria,"7,569","10,804","11,766","12,712","10,883","11,467","14,120","5,267",856,"5,521"
American Samoa,818,527,938,"1,631",398,883,"1,910",734,551,"2,303"
Andorra,"1,554","1,848","1,593","1,835","1,796","2,363","2,578","1,091",195,"2,003"
Angola,"12,810","14,715","13,213","10,327","8,381","7,674","7,786","2,712","1,436","3,666"
Anguilla,"1,839","1,280",893,"1,188",861,"1,140","2,208",882,519,"1,639"
Antigua and Barbuda,"16,502","15,994","15,773","18,150","13,842","13,926","19,015","8,400","6,179","13,779"
Argentina,"777,054","807,515","844,518","1,027,495","883,432","854,089","990,913","391,685","254,355","601,142"
Armenia,"6,517","7,447","8,004","9,756","9,006","8,822","15,597","9,226","8,796","11,093"
