Return to Table of Contents,,,,,,,,,
,,,,,,,,,
Table 32.,,,,,,,,,
NONIMMIGRANT TEMPORARY WORKER ADMISSIONS (I-94 ONLY) BY REGION AND COUNTRY OF CITIZENSHIP: FISCAL YEAR 2022,,,,,,,,,
,,,,,,,,,
Region and country of citizenship,Total temporary workers and families1,"Workers in specialty occupations
(H1B)","Seasonal agricultural workers
(H2A)","Seasonal non-agricultural workers
(H2B, H2R)2","Workers with extraordinary ability/ achievement
(O1, O2)","Athletes, artists, and entertainers
(P1 to P3)","Intracompany transferees
(L1)","Treaty traders and investors
(E1, E2, E2C, E3)3",Other4
REGION,,,,,,,,,
Total,"3,176,965","425,126","684,002","152,716","118,420","106,178","305,520","325,589","1,059,414"
Africa,"31,186","5,601","9,710","1,360","1,817","1,204","4,130",384,"6,980"
Asia,"698,041","307,297",101,"3,019","9,806","5,879","65,464","89,465","217,010"
Europe,"372,822","29,573",893,"3,621","50,794","15,004","95,976","94,764","82,197"
North America,"1,912,634","65,143","671,638","142,304","39,883","75,297","106,625","101,789","709,955"
Oceania,"45,823","1,785",52,31,"4,915","1,426","4,480","28,149","4,985"
South America,"112,102","15,181","1,588",717,"10,920","7,106","28,262","10,639","37,689"
Unknown,"4,357",546,20,"1,664",285,262,583,399,598
COUNTRY,,,,,,,,,
Total,"3,176,965","425,126","684,002","152,716","118,420","106,178","305,520","325,589","1,059,414"
Albania,382,112,0,0,14,57,39,61,99
Algeria,142,31,0,0,11,10,35,6,49
Angola,154,12,0,0,14,D,62,D,61
Argentina,"20,326","1,225",215,151,"2,159","1,453","4,543","4,390","6,190"
Armenia,494,60,0,0,54,41,67,122,150
Australia5,"42,276","1,405",11,16,"4,011","1,108","3,660","27,863","4,202"
Austria,"5,580",429,0,5,595,223,"1,262","2,229",837
Azerbaijan,256,79,0,0,21,8,45,37,66
Bahamas,626,280,0,0,33,157,67,24,65
Bangladesh,"1,162",522,0,0,9,10,89,27,505
Barbados,519,70,D,211,82,38,45,D,46
Belarus,"1,165",52,0,8,97,108,345,3,552
Belgium,"7,766",477,D,D,"1,077",214,"2,378","1,712","1,902"
Belize,129,26,18,54,6,0,D,D,D
Bolivia,653,202,0,0,59,51,131,29,181
Bosnia and Herzegovina,299,40,0,4,8,53,46,66,82
Brazil,"42,030","4,151",146,62,"2,122","1,368","15,519","1,178","17,484"
Bulgaria,"1,326",183,7,336,88,80,249,202,181
Cameroon,235,99,0,0,D,25,21,D,80
Canada,"632,301","48,174","6,277","1,008","17,517","22,902","76,046","58,768","401,609"
Central African Republic,121,D,0,0,0,11,D,103,D
Chile,"10,735","3,669",34,27,487,182,961,"1,148","4,227"
"China, People's Republic6","22,444","12,764",D,0,496,461,"3,595",D,"4,817"
Colombia,"21,454","3,169",119,271,"4,093","1,556","3,923","2,859","5,464"
"Congo, Democratic Republic",120,34,0,0,26,8,D,D,46
Costa Rica,"4,684",557,447,293,194,40,"1,617",241,"1,295"
Cote d'Ivoire,330,266,0,0,D,15,12,D,28
Croatia,"1,024",175,D,D,131,45,384,113,157
Cuba,354,D,0,0,124,181,6,D,36
Cyprus,275,126,0,0,56,D,48,D,31
Czechia,"2,834",203,D,D,185,414,622,670,592
Denmark7,"6,536",248,13,0,853,187,"1,835","1,652","1,748"
Dominican Republic,"8,158",559,78,204,"1,570","3,936",375,31,"1,405"
Ecuador,"2,792",781,15,125,260,126,550,110,825
Egypt,"3,156",860,41,0,170,35,695,46,"1,309"
El Salvador,"5,685",395,386,"3,868",24,214,303,9,486
Estonia,570,50,D,D,112,40,97,111,152
Ethiopia,426,128,0,0,18,93,29,8,150
Finland,"3,143",190,5,0,319,666,958,159,846
France8,"52,552","4,227",5,6,"4,623","1,009","12,333","17,951","12,398"
